#          source         l            b           l*          b*         D*         NHI      NKI    V_CNM    V_KI   Delta_V
                          [deg]       [deg]       [deg]       [deg]     [pc]  [1e20 cm-2][1e10 cm-2] [km/s]   [km/s] [km/s]
---------------------------------------------------------------------------------------------------------------------------    
037 	J032019-773939 	 293.66 	 -36.65 	 293.61 	 -37.03 	 2788.80 	 7.0 	 30.6 	 2.57 	 4.75 	 -2.18
038 	J032113-742002 	 290.73 	 -39.04 	 290.24 	 -38.97 	 696.50 	 5.7 	 51.0 	 -4.03 	 0.64 	 -4.67
039 	J032253-770007 	 292.97 	 -37.04 	 293.43 	 -37.31 	 1540.70 	 7.9 	 27.7 	 3.56 	 3.65 	 -0.09
040 	J032255-770011 	 292.97 	 -37.03 	 293.43 	 -37.31 	 1540.70 	 8.0 	 27.7 	 3.45 	 3.65 	 -0.20
041 	J032259-770023 	 292.97 	 -37.03 	 293.30 	 -36.98 	 997.80 	 7.7 	 45.5 	 5.77 	 5.98 	 -0.21
042 	J032301-770029 	 292.97 	 -37.03 	 293.43 	 -37.31 	 1540.70 	 8.0 	 27.7 	 2.58 	 3.65 	 -1.07
043 	J032456-775225 	 293.62 	 -36.33 	 293.77 	 -36.66 	 1021.60 	 6.7 	 25.0 	 2.38 	 4.59 	 -2.21
044 	J032501-775146 	 293.60 	 -36.33 	 293.77 	 -36.66 	 1021.60 	 6.6 	 25.0 	 2.32 	 4.59 	 -2.27
045 	J032548-735326 	 290.04 	 -39.13 	 290.24 	 -38.97 	 696.50 	 5.6 	 51.0 	 2.52 	 0.64 	 1.88
046 	J032550-735329 	 290.04 	 -39.13 	 290.24 	 -38.97 	 696.50 	 5.5 	 51.0 	 2.42 	 0.64 	 1.78
047 	J032753-774732 	 293.41 	 -36.28 	 293.13 	 -35.97 	 687.70 	 8.1 	 30.0 	 2.44 	 3.81 	 -1.37
048 	J032816-765522 	 292.63 	 -36.88 	 293.19 	 -36.93 	 2460.90 	 9.3 	 42.4 	 2.89 	 4.82 	 -1.93
049 	J032819-765520 	 292.63 	 -36.88 	 293.19 	 -36.93 	 2460.90 	 9.0 	 42.4 	 2.93 	 4.82 	 -1.89
050 	J032822-765517 	 292.62 	 -36.88 	 293.19 	 -36.93 	 2460.90 	 9.1 	 42.4 	 2.90 	 4.82 	 -1.92
051 	J032834-745053 	 290.75 	 -38.33 	 290.48 	 -38.03 	 704.10 	 9.9 	 17.1 	 4.78 	 4.93 	 -0.15
052 	J033027-782212 	 293.79 	 -35.77 	 294.10 	 -35.90 	 532.80 	 7.3 	 21.8 	 3.01 	 4.87 	 -1.86
053 	J033030-782200 	 293.78 	 -35.77 	 294.10 	 -35.90 	 532.80 	 7.4 	 21.8 	 2.94 	 4.87 	 -1.93
054 	J033037-784908 	 294.17 	 -35.44 	 294.47 	 -35.71 	 800.00 	 6.1 	 23.2 	 3.57 	 2.69 	 0.88
055 	J033145-784741 	 294.10 	 -35.42 	 294.10 	 -35.90 	 532.80 	 5.7 	 21.8 	 4.31 	 4.87 	 -0.56
056 	J033211-780653 	 293.49 	 -35.89 	 293.13 	 -35.97 	 687.70 	 7.1 	 30.0 	 2.44 	 3.81 	 -1.37
057 	J033749-784013 	 293.74 	 -35.30 	 294.00 	 -35.72 	 578.90 	 5.7 	 48.0 	 4.73 	 6.44 	 -1.71
058 	J034828-732032 	 288.17 	 -38.28 	 288.49 	 -38.20 	 2379.90 	 5.4 	 28.5 	 5.66 	 6.55 	 -0.89
059 	J035125-792156 	 293.84 	 -34.35 	 293.61 	 -34.10 	 532.30 	 7.8 	 27.7 	 3.01 	 1.63 	 1.38
060 	J035150-695934 	 284.48 	 -40.05 	 284.70 	 -40.02 	 747.00 	 8.6 	 19.5 	 8.08 	 8.62 	 -0.54
061 	J035239-710704 	 285.63 	 -39.35 	 285.89 	 -39.36 	 748.80 	 3.6 	 41.2 	 9.94 	 9.57 	 0.37
062 	J035329-762642 	 290.99 	 -36.12 	 291.08 	 -35.85 	 667.00 	 5.5 	 18.6 	 1.17 	 -0.67 	 1.84
063 	J035410-702439 	 284.78 	 -39.65 	 284.17 	 -39.55 	 781.10 	 7.3 	 24.4 	 8.33 	 8.43 	 -0.10
064 	J035546-782403 	 292.77 	 -34.81 	 292.87 	 -35.13 	 767.20 	 5.9 	 24.5 	 2.53 	 4.46 	 -1.93
065 	J035627-725014 	 287.21 	 -38.12 	 286.90 	 -37.88 	 736.20 	 6.1 	 20.9 	 1.65 	 3.07 	 -1.42
066 	J035644-720927 	 286.48 	 -38.49 	 286.19 	 -38.51 	 574.50 	 6.2 	 25.8 	 7.97 	 7.95 	 0.02
067 	J035730-694844 	 283.93 	 -39.74 	 284.22 	 -39.90 	 2623.40 	 6.8 	 58.6 	 7.40 	 7.50 	 -0.10
068 	J035743-682858 	 282.45 	 -40.44 	 282.57 	 -40.64 	 1565.10 	 10.2 	 58.4 	 6.80 	 6.60 	 0.20
069 	J035745-682904 	 282.45 	 -40.43 	 281.95 	 -40.40 	 542.50 	 10.1 	 61.7 	 1.82 	 3.37 	 -1.55
070 	J035845-720848 	 286.36 	 -38.37 	 286.19 	 -38.51 	 574.50 	 6.8 	 25.8 	 7.89 	 7.95 	 -0.06
071 	J035859-791544 	 293.47 	 -34.15 	 293.61 	 -34.10 	 532.30 	 7.2 	 27.7 	 1.72 	 1.63 	 0.09
072 	J035911-772200 	 291.64 	 -35.30 	 291.67 	 -34.94 	 667.60 	 5.9 	 18.5 	 3.25 	 5.03 	 -1.78
073 	J040020-794904 	 293.95 	 -33.76 	 293.61 	 -34.10 	 532.30 	 6.3 	 27.7 	 2.53 	 1.63 	 0.90
074 	J040040-700026 	 283.95 	 -39.41 	 283.65 	 -39.83 	 2921.70 	 8.2 	 69.1 	 1.69 	 3.28 	 -1.59
075 	J040110-790204 	 293.18 	 -34.21 	 293.61 	 -34.10 	 532.30 	 6.7 	 27.7 	 2.64 	 1.63 	 1.01
076 	J040131-705457 	 284.89 	 -38.86 	 284.88 	 -39.22 	 749.90 	 5.5 	 18.6 	 7.52 	 8.36 	 -0.84
077 	J040220-790707 	 293.22 	 -34.11 	 293.61 	 -34.10 	 532.30 	 7.1 	 27.7 	 2.24 	 1.63 	 0.61
078 	J040247-695523 	 283.74 	 -39.30 	 283.59 	 -39.74 	 622.80 	 5.8 	 34.2 	 5.11 	 7.67 	 -2.56
079 	J040252-690218 	 282.75 	 -39.75 	 282.52 	 -40.16 	 526.10 	 7.2 	 67.0 	 5.06 	 5.13 	 -0.07
080 	J040329-742124 	 288.43 	 -36.84 	 287.87 	 -36.75 	 603.90 	 11.3 	 18.0 	 5.04 	 5.01 	 0.03
081 	J040440-724023 	 286.61 	 -37.70 	 286.98 	 -37.86 	 868.40 	 6.6 	 21.0 	 6.37 	 5.10 	 1.27
082 	J040513-723724 	 286.53 	 -37.70 	 286.98 	 -37.86 	 868.40 	 6.2 	 21.0 	 6.34 	 5.10 	 1.24
083 	J040531-704153 	 284.43 	 -38.70 	 283.97 	 -38.36 	 952.40 	 5.3 	 19.2 	 5.45 	 5.48 	 -0.03
084 	J040541-710449 	 284.84 	 -38.49 	 284.74 	 -38.02 	 798.20 	 4.6 	 33.3 	 7.15 	 5.59 	 1.56
085 	J040659-733405 	 287.44 	 -37.08 	 287.45 	 -37.45 	 1168.80 	 8.3 	 20.9 	 7.28 	 6.99 	 0.29
086 	J040749-721622 	 286.02 	 -37.72 	 286.31 	 -37.63 	 843.80 	 8.7 	 21.4 	 6.64 	 7.78 	 -1.14
087 	J040828-741616 	 288.11 	 -36.61 	 287.87 	 -36.75 	 603.90 	 9.8 	 18.0 	 5.91 	 5.01 	 0.90
088 	J040832-721841 	 286.02 	 -37.65 	 286.31 	 -37.63 	 843.80 	 7.4 	 21.4 	 6.43 	 7.78 	 -1.35
089 	J040835-721844 	 286.02 	 -37.65 	 286.31 	 -37.63 	 843.80 	 7.4 	 21.4 	 6.34 	 7.78 	 -1.44
090 	J040907-721916 	 286.01 	 -37.61 	 286.31 	 -37.63 	 843.80 	 7.7 	 21.4 	 6.62 	 7.78 	 -1.16
091 	J040914-714206 	 285.33 	 -37.92 	 284.74 	 -38.02 	 798.20 	 7.3 	 33.3 	 5.66 	 5.59 	 0.07
092 	J040935-765321 	 290.75 	 -35.11 	 290.71 	 -35.13 	 989.60 	 6.1 	 46.6 	 2.68 	 1.64 	 1.04
093 	J040936-765326 	 290.75 	 -35.11 	 290.71 	 -35.13 	 989.60 	 5.9 	 46.6 	 2.73 	 1.64 	 1.09
094 	J040937-765334 	 290.76 	 -35.10 	 290.71 	 -35.13 	 989.60 	 5.8 	 46.6 	 1.25 	 1.64 	 -0.39
095 	J040958-750018 	 288.81 	 -36.13 	 288.25 	 -36.01 	 899.80 	 5.9 	 28.7 	 6.48 	 8.17 	 -1.69
096 	J041040-771121 	 291.02 	 -34.89 	 290.71 	 -35.13 	 989.60 	 7.6 	 46.6 	 2.89 	 1.64 	 1.25
097 	J041042-775042 	 291.67 	 -34.52 	 291.67 	 -34.94 	 667.60 	 5.8 	 18.5 	 2.83 	 5.03 	 -2.20
098 	J041100-764122 	 290.50 	 -35.15 	 290.71 	 -35.13 	 989.60 	 6.3 	 46.6 	 0.80 	 1.64 	 -0.84
099 	J041102-764126 	 290.50 	 -35.15 	 290.71 	 -35.13 	 989.60 	 6.4 	 46.6 	 0.83 	 1.64 	 -0.81
100 	J041123-762247 	 290.16 	 -35.30 	 290.71 	 -35.13 	 989.60 	 6.3 	 46.6 	 3.19 	 1.64 	 1.55
101 	J041258-773857 	 291.39 	 -34.53 	 291.67 	 -34.94 	 667.60 	 5.6 	 18.5 	 2.95 	 5.03 	 -2.08
102 	J041406-765311 	 290.58 	 -34.90 	 290.71 	 -35.13 	 989.60 	 6.4 	 46.6 	 3.09 	 1.64 	 1.45
103 	J041439-705437 	 284.19 	 -37.94 	 284.74 	 -38.02 	 798.20 	 8.7 	 33.3 	 2.63 	 5.59 	 -2.96
104 	J041440-705443 	 284.19 	 -37.94 	 284.74 	 -38.02 	 798.20 	 8.9 	 33.3 	 2.51 	 5.59 	 -3.08
