src_id,src_name,src_glon,src_glat,nhi,sig_nhi,nhi_thin,star_id,r_med,ew_ki_ism,amp_ki_ism,res_max_ki_ism,ki_ism_vlsr_obs,ki_ism_avg_vlsr_obs,ki_ism_sig_vlsr_obs,emt_min_vlsr,vlsr_hi_ki_diff,vlsr_diff_min,n_nearby_stars
91,J024508-695753,289.7952903850992,-44.15004494640527,3.778835959922675,0.1412800589287053,3.467203784436903,140809004901022,813.3483276367188,0.0325727500021457,0.0854747561366457,0.0827928479597072,12.858595017230147,12.19457530583614,3.5355339059327373,8.583254987406917,4.27534002982323,4.27534002982323,2
92,J024800-693600,289.212713453656,-44.29356238741928,3.299272758405715,0.1446437433518049,3.0977480780973963,140809004901376,647.63134765625,0.0591551400721073,0.1520703237640228,0.1525391735620936,11.456469854306633,11.644665319719222,2.886751345948129,9.348078685169003,2.108391169137626,2.108391169137626,3
94,J025415-791927,296.2050324640857,-36.14640193910103,6.243640121427838,0.2614615311642663,5.588901981250127,150828005201240,909.3572998046876,0.056476853787899,0.1225819681977738,0.1298093411512355,2.784272228309394,3.5677748498086235,3.5355339059327373,2.2445562400329324,0.5397159882764617,0.5397159882764617,2
95,J025617-780035,295.1676036984297,-37.16760245860451,7.004146474426524,0.407044069871897,6.248563228405264,140814006601103,563.0374145507812,0.0693959295749664,0.1808946678691884,0.1702635880025754,2.003546122820591,3.822840330175026,2.23606797749979,1.8461575919790607,0.1573885308415299,0.1573885308415299,5
96,J025618-780044,295.1680695935488,-37.16575671714013,7.014843360688259,0.4454820234463819,6.407893301266872,140814006601103,563.0374145507812,0.0693959295749664,0.1808946678691884,0.1702635880025754,2.003546122820591,3.822840330175026,2.23606797749979,1.9804439115575712,0.0231022112630199,0.0231022112630199,5
97,J025721-782714,295.4337330130178,-36.77477862727677,7.26049715347442,0.3740824825527477,6.449669256689677,150827004601016,904.5570678710938,0.0406035669147968,0.127645916084326,0.132243073586435,3.460182580639943,4.293499635637804,2.041241452319315,2.6450637448389123,0.8151188358010306,0.8151188358010306,6
98,J025803-783711,295.5188849669127,-36.61962131751525,6.513063946077753,0.2850630608720155,5.653353199931794,150827004601016,904.5570678710938,0.0406035669147968,0.127645916084326,0.132243073586435,3.460182580639943,4.293499635637804,2.041241452319315,1.9673036438479865,1.4928789367919564,1.4928789367919564,6
99,J030316-765256,293.93651633619334,-37.84767846575038,5.77864684170461,0.1684317128939773,5.353289324340029,140814006601069,670.7278442382812,0.0303031150251626,0.0755271275442061,0.0813638425843262,1.3563155352158702,1.3563155352158702,5.0,1.849169652118094,0.4928541169022238,0.4928541169022238,1
100,J030320-791455,295.72534344822424,-35.96226035498256,6.675704854485517,0.2295719589103471,6.028476401733074,150828005201240,909.3572998046876,0.056476853787899,0.1225819681977738,0.1298093411512355,2.784272228309394,3.318257141788494,2.5,1.9288338828725309,0.8554383454368633,0.8554383454368633,4
101,J030330-772932,294.3945285842325,-37.357092061550325,7.405618266416801,0.4596326988235639,6.186043457879903,140814006601103,563.0374145507812,0.0693959295749664,0.1808946678691884,0.1702635880025754,2.003546122820591,1.4281642301516253,2.886751345948129,-0.0531498524294173,2.056695975250008,2.056695975250008,3
102,J030705-775917,294.5887412694796,-36.84914946524824,9.085210442697964,0.6962191204897207,6.754411684935307,140814006601101,872.8606567382812,0.0431714802980423,0.0997854104922158,0.1017406970250652,3.3669429028859064,4.536447832390568,1.6666666666666667,3.1166012385504582,0.2503416643354481,0.2503416643354481,9
103,J030842-781241,294.68044369900923,-36.622324413556605,7.026044068080608,0.2200491605852855,6.026068973641153,140814006601097,1666.1944580078125,0.0343743413686752,0.1273992703474252,0.1254504352223672,4.022367899766108,4.202023717012226,2.5,1.879611521983211,2.142756377782897,2.142756377782897,4
104,J031155-765150,293.4395382293064,-37.55252255116848,6.224159106329948,0.384676486515195,5.774529768868943,140814006601004,1540.7005615234375,0.0482111796736717,0.1128314659643516,0.1074716935854108,3.65295846511415,4.951832623261363,2.886751345948129,3.922456573367483,0.2694981082533334,0.2694981082533334,3
106,J031235-782909,294.70694654912813,-36.28566151779925,5.956689851131188,0.2753666322227549,5.821338321215045,150828005701157,583.511962890625,0.0520846210420131,0.1645296132488108,0.1613411072993233,4.419221311835582,4.261908989427599,2.886751345948129,1.707307347203652,2.71191396463193,2.71191396463193,3
112,J032019-773939,293.65990788940576,-36.64774331892759,6.970669855360006,0.3735690305134728,6.404387612776144,140814006601025,2788.820068359375,0.0533541552722454,0.1708013821582734,0.1615646198666425,4.745790430626579,4.95154067997055,1.4433756729740643,2.56625445309393,2.1795359775326486,2.1795359775326486,12
113,J032113-742002,290.72850374943846,-39.038238927486624,5.719077233128861,0.2654863122180943,4.974301932504095,150830005601205,696.4606323242188,0.088925153017044,0.2308817155555137,1.8030918814389605,0.6449600440437298,0.6449600440437298,5.0,-4.029378429319975,4.674338473363704,4.674338473363704,1
115,J032253-770007,292.9728089569298,-37.036919095195984,7.867584783927782,0.4527789692177866,6.715304720801758,140814006601004,1540.7005615234375,0.0482111796736717,0.1128314659643516,0.1074716935854108,3.65295846511415,5.375777370360002,2.041241452319315,3.563575815311504,0.0893826498026464,0.0893826498026464,6
116,J032255-770011,292.97226035745547,-37.034860833313104,8.02161470247457,0.5117640553004931,6.722444649179561,140814006601004,1540.7005615234375,0.0482111796736717,0.1128314659643516,0.1074716935854108,3.65295846511415,5.375777370360002,2.041241452319315,3.4497385661232123,0.2032198989909375,0.2032198989909375,6
117,J032259-770023,292.9719748092574,-37.03026807450871,7.668284256707741,0.3395397016965686,6.683137053646738,150828005701263,997.79931640625,0.0792810693383216,0.2161532615124254,0.2154958977734409,5.976955782618031,5.375777370360002,2.041241452319315,5.768280456202369,0.208675326415662,0.208675326415662,6
118,J032301-770029,292.97180865840653,-37.02761618452414,7.990959140497883,0.5735079491636668,6.813825145249353,140814006601004,1540.7005615234375,0.0482111796736717,0.1128314659643516,0.1074716935854108,3.65295846511415,5.375777370360002,2.041241452319315,2.578115283524744,1.0748431815894055,1.0748431815894055,6
123,J032456-775225,293.6161059942931,-36.32543333378411,6.6781353386456646,0.3957004439774654,6.288630039578133,150828005701218,1021.572509765625,0.0435949824750423,0.1447503134450833,0.1431168184215275,4.592255224208195,5.002566591143776,1.212678125181665,2.378715343083598,2.2135398811245968,2.2135398811245968,17
